12917,DESSOUS L HOMME ENTERRE,02290,Tartiers,,3.221581,49.446742
148800,RUE D EN BAS,02210,Billy-sur-Ourcq,120,3.303869,49.215204
90000,LA TERRE DES CHIENS,02220,Mont-Notre-Dame,,3.583291,49.273711
110000,LE CHAMP DE LA CAILLE,02320,Allemant,,3.458176,49.466584
180000,AV DE REIMS,02200,Soissons,,3.332218,49.375646
49285,LE CLOS DE CUIRY,02220,Augy,,3.504913,49.332912
2660,LE DESSUS DE VAUTIERE,02290,Ambleny,,3.20113,49.37241
30866.5,CHENNEPIE,02880,Chavigny,,3.304918,49.429457
122000,RUE DE LA BOULOIRE,02370,Presles-et-Boves,84,3.560514,49.393256
147000,RUE MAHIEUX,02290,Ambleny,74,3.181764,49.376964
90000,RUE DU GENERAL DE GAULLE,02120,Guise,72,3.626418,49.894202
16000,RUE RAYMOND WILLIOT,02120,Proisy,125,3.74711,49.897936
73000,LE VILLAGE,02500,Wimy,,3.999429,49.933373
106100,DERRIERE COQUIMPRE,02830,Watigny,,4.183771,49.903113
30000,RUE D EN HAUT,02260,Gergny,,3.933944,49.914268
6000,LE CHAMP DES FOSSES,02120,Audigny,,3.649482,49.868317
65000,RUE DE ROBBE,02120,Guise,102,3.613228,49.904841
112000,RUE DE PARIS,02550,Origny-en-Thiérache,110,3.998318,49.865186
45000,PL JULES DECAMP,02500,Hirson,75,4.078388,49.925475
60000,NOGEMONT,02140,Jeantes,,4.05013,49.826945
129771,DERRIERE L'EGLISE,02130,Fère-en-Tardenois,,3.506122,49.200131
155000,MONTCOURT,02400,Essômes-sur-Marne,90,3.357573,49.028122
995.4,LA CHAUSSEE,02810,Saint-Gengoulph,,3.192953,49.098945
4406,L ARPENT,02400,Bouresches,,3.312267,49.065722
38000,LE ROCHEMONT,02850,Jaulgonne,,,
,CLOS DE LA FOLIE,02130,Vézilly,,3.674632,49.193077
115000,LA RUE DU BOIS,02210,Coincy,,3.426393,49.159139
130000,RUE DU ROUILLIER,02130,Seringes-et-Nesles,95,3.573029,49.200984
110000,LA PETITE RUE,02130,Goussancourt,111,3.668494,49.166533
